date,leads,product_views,carts,purchases,category
2024-03-01,1102,821,628,537,Home
2024-03-02,1435,1113,695,604,Home
2024-03-03,1860,1546,1094,684,Electronics
2024-03-04,1270,1026,737,534,Home
2024-03-05,1106,854,490,313,Home
2024-03-06,1071,913,810,730,Electronics
2024-03-07,1700,1249,1011,827,Beauty
2024-03-08,1020,788,690,493,Electronics
2024-03-09,1614,1277,1095,681,Beauty
2024-03-10,1121,912,674,477,Home
2024-03-11,1466,1313,1140,813,Home
2024-03-12,1214,910,487,416,Home
2024-03-13,1330,1101,636,523,Clothing
2024-03-14,1458,1236,640,582,Beauty
2024-03-15,1087,773,487,372,Clothing
2024-03-16,1372,1168,765,491,Clothing
2024-03-17,1099,816,496,421,Electronics
2024-03-18,1871,1340,1114,965,Clothing
2024-03-19,1663,1558,1001,797,Electronics
2024-03-20,1130,1063,650,565,Electronics
2024-03-21,1661,1498,1074,830,Clothing
2024-03-22,1308,1015,564,441,Beauty
2024-03-23,1769,1281,1051,787,Beauty
2024-03-24,1343,1169,619,376,Beauty
2024-03-25,1491,1207,1079,688,Beauty
2024-03-26,1413,1032,834,509,Beauty
2024-03-27,1805,1486,861,708,Clothing
2024-03-28,1385,981,492,349,Clothing
2024-03-29,1191,1104,912,709,Home
2024-03-30,1955,1494,1169,1072,Beauty
